Id,Sales
40233,4294.2085
39377,0.0
38521,5439.309
37665,4877.201
36809,4704.134
35953,4272.162
35097,4835.2656
34241,4294.2085
33385,0.0
32529,3920.2776
31673,3528.2222
30817,3610.3237
29961,3657.8025
29105,3734.2454
28249,4294.2085
27393,0.0
26537,5439.309
25681,4877.201
24825,4704.134
23969,4272.162
23113,4835.2656
22257,4294.2085
21401,0.0
20545,3920.2776
19689,3528.2222
18833,3610.3237
17977,3657.8025
17121,3734.2454
16265,4294.2085
15409,0.0
14553,5439.309
13697,5009.595
12841,4909.843
11985,4391.8584
11129,4871.087
10273,3910.1748
9417,0.0
8561,3869.8762
7705,3399.5613
6849,3414.8767
5993,3330.1934
5137,3361.2195
4281,3910.1748
3425,0.0
2569,4879.788
1713,4769.9497
857,4418.2886
1,3979.2302
40234,4403.1504
39378,0.0
38522,8819.981
37666,8794.429
36810,7429.1865
35954,7427.429
35098,7175.477
34242,4403.1504
33386,0.0
32530,6178.906
31674,5957.0195
30818,5943.7783
29962,6005.6963
29106,6742.618
28250,4403.1504
27394,0.0
26538,8870.508
25682,8737.125
24826,7679.821
23970,7239.9204
23114,6935.6484
22258,4403.1504
21402,0.0
20546,6181.9355
19690,5699.0356
18834,5943.7783
17978,6005.6963
17122,6742.618
16266,4403.1504
15410,0.0
14554,8870.508
13698,9923.007
12842,7970.0083
11986,7463.0493
11130,7093.7153
10274,3912.4956
9418,0.0
8562,5969.0664
7706,5704.0986
6850,5610.1777
5994,5647.724
5138,5710.517
4282,3912.4956
3426,0.0
2570,9703.645
1714,9923.007
858,7970.0083
2,7463.0493
40235,7538.181
39379,0.0
38523,14966.065
37667,13288.747
36811,11017.68
35955,11100.86
35099,13028.655
34243,7538.181
33387,0.0
32531,11340.13
31675,10085.701
30819,8882.877
29963,9453.25
29107,10172.251
28251,7538.181
27395,0.0
26539,14966.065
25683,13288.747
24827,11017.68
23971,11100.86
23115,13028.655
22259,7538.181
21403,0.0
20547,11340.13
19691,10085.701
18835,8882.877
17979,9453.25
17123,10172.251
16267,7538.181
15411,0.0
14555,14392.892
13699,12584.636
12843,9957.555
11987,9527.7
11131,10073.291
10275,6131.743
9419,0.0
8563,8785.215
7707,8387.792
6851,7625.5884
5995,7987.4126
5139,8449.241
4283,6131.743
3427,0.0
2571,13075.86
1715,12584.636
859,9957.555
3,9527.7
40236,3816.2983
39380,0.0
38524,8691.42
37668,7492.913
36812,6632.3975
35956,7549.1895
35100,6939.85
34244,3816.2983
33388,0.0
32532,5780.643
31676,5374.733
30820,4971.5034
29964,5912.024
29108,5381.853
28252,3816.2983
27396,0.0
26540,8691.42
25684,7492.913
24828,6632.3975
23972,7549.1895
23116,6939.85
22260,3816.2983
21404,0.0
20548,5780.643
19692,5374.733
18836,4971.5034
17980,5912.024
17124,5381.853
16268,3816.2983
15412,0.0
14556,9715.071
13700,8637.464
12844,7457.3354
11988,8101.937
11132,6717.2886
10276,3728.2087
9420,0.0
8564,6095.9897
7708,5765.9893
6852,5393.807
5996,6354.442
5140,5392.989
4284,3728.2087
3428,0.0
2572,9923.953
1716,8637.464
860,7457.3354
4,8101.937
40237,6877.402
39381,0.0
38525,10766.55
37669,8232.876
36813,7451.761
35957,7645.835
35101,8257.137
34245,6877.402
33389,0.0
32533,7404.6743
31677,6192.015
30821,6513.7373
29965,6782.39
29109,7462.9214
28253,6877.402
27397,0.0
26541,11652.272
25685,8908.993
24829,8270.236
23973,7724.8105
23117,8067.715
22261,6877.402
21405,0.0
20549,7532.6255
19693,6518.206
18837,6513.7373
17981,6782.39
17125,7462.9214
16269,6877.402
15413,0.0
14557,11652.272
13701,9062.719
12845,7834.5615
11989,7581.097
11133,8090.678
10277,6277.734
9421,0.0
8565,7194.6387
7709,6422.089
6853,6117.9326
5997,6304.0093
5141,6255.588
4285,6277.734
3429,0.0
2573,11413.622
1717,9062.719
861,7834.5615
5,7943.28
40238,5150.11
39382,0.0
38526,7196.128
37670,6179.0527
36814,5465.177
35958,5614.5728
35102,6500.5796
34246,5150.11
33390,0.0
32534,5922.262
31678,5089.588
30822,4892.89
29966,5129.8076
29110,5577.199
28254,5150.11
27398,0.0
26542,7196.128
25686,6179.0527
24830,5465.177
23974,5614.5728
23118,6500.5796
22262,5150.11
21406,0.0
20550,5922.262
19694,5089.588
18838,4892.89
17982,5129.8076
17126,5577.199
16270,5150.11
15414,0.0
14558,7196.128
13702,6561.722
12846,5799.354
11990,6116.322
11134,6325.295
10278,5110.5503
9422,0.0
8566,5966.7725
7710,5439.179
6854,5365.5483
5998,5330.381
5142,5483.766
4286,5110.5503
3430,0.0
2574,7903.5586
1718,7184.503
862,6425.98
6,6116.322
40239,6367.0127
39383,0.0
38527,9641.281
37671,8455.642
36815,8706.869
35959,7936.873
35103,8293.437
34247,6367.0127
33391,0.0
32535,7703.76
31679,6975.68
30823,7298.3335
29967,6785.9487
29111,7033.4307
28255,6367.0127
27399,0.0
26543,9641.281
25687,8455.642
24831,8706.869
23975,7936.873
23119,8293.437
22263,6367.0127
21407,0.0
20551,7703.76
19695,6975.68
18839,7298.3335
17983,6785.9487
17127,7033.4307
16271,6367.0127
15415,0.0
14559,10186.912
13703,9320.177
12847,8975.973
11991,7972.814
11135,7700.7476
10279,5621.625
9423,0.0
8567,6747.8486
7711,6581.9185
6855,6980.439
5999,6591.4365
5143,6597.0786
4287,5621.625
3431,0.0
2575,9714.117
1719,9320.177
863,8975.973
7,7972.814
40240,6429.039
39384,0.0
38528,10318.246
37672,8926.089
36816,8617.14
35960,8345.402
35104,8621.784
34248,6429.039
33392,0.0
32536,7013.113
31680,6213.8945
30824,6161.8257
29968,5848.304
29112,6151.9424
28256,6429.039
27400,0.0
26544,10318.246
25688,8926.089
24832,8617.14
23976,8345.402
23120,8621.784
22264,6429.039
21408,0.0
20552,7013.113
19696,6213.8945
18840,6161.8257
17984,5848.304
17128,6151.9424
16272,6429.039
15416,0.0
14560,11245.188
13704,10306.0205
12848,8808.011
11992,8283.878
11136,8188.528
10280,6103.0933
9424,0.0
8568,6465.426
7712,5886.6016
6856,6113.2134
6000,6041.923
5144,6100.061
4288,6103.0933
3432,0.0
2576,11418.01
1720,10306.0205
864,8808.011
8,8283.878
40241,4641.6377
39385,0.0
38529,7857.506
37673,6381.903
36817,6123.648
35961,5469.4688
35105,6232.801
34249,0.0
33393,0.0
32537,4094.2424
31681,3748.171
30825,3691.2637
29969,3610.1997
29113,3796.2957
28257,0.0
27401,0.0
26545,7857.506
25689,6381.903
24833,6123.648
23977,5469.4688
23121,6232.801
22265,4641.6377
21409,0.0
20553,4094.2424
19697,3748.171
18841,3691.2637
17985,3610.1997
17129,3796.2957
16273,4641.6377
15417,0.0
14561,7857.506
13705,6129.433
12849,5840.6445
11993,5458.227
11137,6149.1206
10281,4695.8037
9425,0.0
8569,3924.8762
7713,3555.8547
6857,3503.3132
6001,3604.3464
5145,3516.569
4289,4695.8037
3433,0.0
2577,7789.4307
1721,6341.6055
865,5779.573
9,5467.5176
40242,3421.9368
39386,0.0
38530,7115.773
37674,6491.205
36818,5494.353
35962,5599.9663
35106,5937.8623
34250,3421.9368
33394,0.0
32538,5018.309
31682,4802.987
30826,4691.622
29970,4962.6055
29114,5175.205
28258,3421.9368
27402,0.0
26546,7446.681
25690,6506.6274
24834,5884.3896
23978,5782.617
23122,5838.7007
22266,3421.9368
21410,0.0
20554,5066.4155
19698,4686.724
18842,4691.622
17986,4962.6055
17130,5175.205
16274,3421.9368
15418,0.0
14562,7446.681
13706,6781.7886
12850,5925.1045
11994,5938.559
11138,5914.844
10282,3278.617
9426,0.0
8570,5037.6514
7714,4776.579
6858,4653.8564
6002,4826.8145
5146,4744.764
4290,3278.617
3434,0.0
2578,7410.5947
1722,6781.7886
866,5925.1045
10,5938.559
40243,6274.387
39387,0.0
38531,9975.777
37675,7775.4233
36819,7075.6865
35963,7538.476
